,,,,,,,,,,10684,,MW capacity:,27407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_no,ref_no,company,site_location,subsite_name,county,mfg_date,original_permit_date,latest_permit_date,date_notes,quantity,capacity_bhp,capacity_kWe,total_capacity_kWe,manufacturer,model,equipment_type,tier,SCR,NOx_g_per_kWh,PM_g_per_kWh,NOx_lb_per_hr,CO_lb_per_hr,VOC_lb_per_hr,PM_lb_per_hr,SO2_lb_per_hr,NOx_uncontrolled_lb_per_hr,CO_uncontrolled_lb_per_hr,VOC_uncontrolled_lb_per_hr,PM_uncontrolled_lb_per_hr,NOx_controls,PM_controls,CO_controls,add_on_control,fuel_type,fuel_spec_raw,max_sulfur_wt_pct,fuel_throughput_limit_raw,operating_hr_per_year,possible_issues,additional_notes,transitory,exempt_from_permitting,
30142,"A/B10, C12-C15","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",6,4393,3000,18000,Caterpillar,3516E,emergency diesel genset,Tier 2,FALSE,8.78,,58.1,11.6,5.4,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,"Unsure if A/B10 corresponds to a single generator, or two generators (A10 and B10)",,FALSE,FALSE,
30142,"A/B11, C16, C17 ","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",4,4309,3000,12000,Cummins,C3000 C6e,emergency diesel genset,Tier 2,FALSE,8.6,,56.9,,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,"Unsure if A/B11 corresponds to a single generator, or two generators (A11 and B11)",,FALSE,FALSE,
30142,"D1-D7, D18-D24","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",14,3672,2500,35000,Rolls Royce,MTU 20V4000G94S,emergency diesel genset,Tier 2,FALSE,8.79,,48.43,11.9,2.3,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,"D8, D25","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",2,3640,2500,5000,Rolls Royce,MTU 16V4000G64S,emergency diesel genset,Tier 2,FALSE,8.8,,48.5,9.7,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,"D9, D10, D26, D27","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",4,3640,2500,10000,Cummins,25000QKAN,emergency diesel genset,Tier 2,FALSE,8.73,,48.1,7.2,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,FP1,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,,2/12/2025,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,64,47.72,47.72486615,John Deere,4046TF29DE,emergency diesel genset,Tier 2,FALSE,,,,,,,,,,,,,,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,G8,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,7-Jan,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,3286,2250,2250,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.35,,46.4,9.4,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,G9,"TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,9-Jan,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",1,3286,2250,2250,Caterpillar,3516C,emergency diesel genset,Tier 2,FALSE,8.57,,42.5,,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
30142,"EG1-EG3, EGR","TECfusions Clarksville, LLC","250 Burlington Drive, Clarksville VA 23927",,Mecklenburg,6-Oct,2/9/2012,2/12/2025,"""New Source Review Permits dated February 9, 2012 and the permit application dated July 9, 2024, including supplemental information dated December 11, 2024 and January 15, 2025""",4,3286,2250,9000,Caterpillar,3516B,emergency diesel genset,Tier 2,FALSE,9.35,,46.4,9.4,,,,,,,,"electronic fuel injection, turbocharged engine, and aftercooler",,,,diesel,The diesel fuel shall meet the ASTM D975 specification for S15  diesel fuel oil with a maximum sulfur content per shipment of 0.0015%,0.00%,,100,,,FALSE,FALSE,
